Name,Wifi,Jacuzzi,Bar,Pool Inside,Break Fast,Spa,Gym,Air Conditioner,Synagogue,Parking,Beach,Room Service,Refrigerator,Sea View,Pet Friendly,Kids Room,Entertainment Staff,Events Hall,Taxi Service,Location,Rating
זרקא סוויטס,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
זוהר בגלבוע,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
זוהר בדשא,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
זמן ערבה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ח'אן עין כרם,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,5
חסן בית הארחה,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
חצר שולמית,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
חדרי ספא T,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
חדרי אירוח בנאות סמדר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
חשיפה לצפון,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
חורשה במדבר,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2.5
חוף בצת,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
חוף גיא - מלון נופש ספא,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,4
חוף התמרים עכו,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,4
חוות נחל בוקר,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,4.5
חוות נאות,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,4.5
חוות הנמורה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
חוות אצטרובל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
חוות אורליה,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
חוות אלפקה,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
חוות מתנת המדבר,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
חוות מייסטר,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
חאן נחל ערבה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
חאן באר יוסף עמיעד,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3.5
חאן בארותיים,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
חאן דרך הבשמים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
חאן החמור הלבן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
חאן תמרים,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
חאן שקדי,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
חאן יפו העתיקה - סוויטות בוטיק,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
חלונות ירושלים - דירות נופש של EXP,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4.5
חלום בגורן,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
חלום בירוק,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
חמדת ימים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
חמיאל צימרים ביער,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
חן בגליל,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
חי נגב,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
חיפה דירות בוטיק,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.5
נחלת איכרים,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
נעימת החליל,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נפטון אילת,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,4.5
נקודת חן בעזוז,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.5
נועם בקדיתא,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
נוף צוקים,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
נוף בכרם,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נוף באמירים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נוף אינסוף,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נוף לגלבוע,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5
נופש חלומי,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
נופש נאמן,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5
נופש בהרים,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
נופש בהרים רמות נפתלי,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
נופש גלילי קסום,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,4.5
